4 12 	 [(4,1)0.631040] 	 [(282,3)0.981784] 	 0.642748 	 1
4 13 	 [(4,10)0.488742] 	 [(128,7)0.975149] 	 0.501197 	 1
4 14 	 [(4,2)0.792975] 	 [(215,10)0.979736] 	 0.809376 	 1
4 15 	 [(4,1)0.408097] 	 [(12,10)0.982251] 	 0.415471 	 1
4 16 	 [(4,1)0.702323] 	 [(271,1)0.980429] 	 0.716343 	 1
4 17 	 [(4,1)0.703328] 	 [(652,1)0.984204] 	 0.714616 	 1
4 18 	 [(4,1)0.649502] 	 [(652,5)0.985740] 	 0.658898 	 1
4 19 	 [(4,1)0.669494] 	 [(652,3)0.980338] 	 0.682922 	 1
4 20 	 [(4,1)0.652563] 	 [(319,9)0.985308] 	 0.662293 	 1
5 11 	 [(5,7)0.512475] 	 [(23,4)0.975686] 	 0.525246 	 1
5 12 	 [(5,1)0.691132] 	 [(517,9)0.972224] 	 0.710877 	 1
5 13 	 [(5,10)0.553787] 	 [(600,9)0.976503] 	 0.567112 	 1
5 14 	 [(5,1)0.659141] 	 [(514,10)0.973091] 	 0.677368 	 1
5 15 	 [(5,2)0.754726] 	 [(127,8)0.975215] 	 0.773907 	 1
5 16 	 [(5,2)0.741690] 	 [(594,4)0.971170] 	 0.763708 	 1
5 17 	 [(5,2)0.651339] 	 [(105,9)0.962465] 	 0.676740 	 1
5 18 	 [(5,2)0.488655] 	 [(242,8)0.963011] 	 0.507424 	 1
5 19 	 [(5,2)0.720899] 	 [(77,2)0.971129] 	 0.742331 	 1
5 20 	 [(5,1)0.810976] 	 [(105,6)0.962984] 	 0.842149 	 1
6 11 	 [(6,10)0.688590] 	 [(604,3)0.973488] 	 0.707343 	 1
6 12 	 [(6,2)0.575744] 	 [(30,1)0.973088] 	 0.591667 	 1
6 13 	 [(6,10)0.627897] 	 [(271,1)0.965417] 	 0.650389 	 1
6 14 	 [(6,1)0.660862] 	 [(317,8)0.983166] 	 0.672177 	 1
6 15 	 [(6,2)0.623061] 	 [(12,2)0.976797] 	 0.637861 	 1
6 16 	 [(6,2)0.727473] 	 [(30,3)0.960530] 	 0.757366 	 1
6 17 	 [(6,2)0.723065] 	 [(12,2)0.965872] 	 0.748614 	 1
6 18 	 [(6,2)0.517093] 	 [(634,7)0.969822] 	 0.533183 	 1
6 19 	 [(6,2)0.726539] 	 [(735,5)0.972066] 	 0.747417 	 1
6 20 	 [(6,2)0.458242] 	 [(30,9)0.975649] 	 0.469679 	 1
7 11 	 [(7,10)0.516586] 	 [(192,7)0.975856] 	 0.529367 	 1
7 12 	 [(7,7)0.786160] 	 [(204,4)0.969464] 	 0.810922 	 1
7 13 	 [(7,3)0.713368] 	 [(166,1)0.967652] 	 0.737215 	 1
7 14 	 [(7,3)0.789647] 	 [(96,4)0.968710] 	 0.815153 	 1
